"","date","close","volume","open","high","low"
"1",2012-12-31,37.68,4634400,36.8,37.7,36.655
"2",2012-12-28,36.9,3171577,36.91,37.4,36.89
"3",2012-12-27,37.3,3422693,37.49,37.62,36.83
"4",2012-12-26,37.55,2437597,37.48,37.99,37.26
"5",2012-12-24,37.53,2447913,37.76,37.82,37.3101
"6",2012-12-21,37.71,7975880,37.36,38,37.35
"7",2012-12-20,37.87,4329182,38.08,38.16,37.79
"8",2012-12-19,38.09,5853283,37.39,38.25,37.35
"9",2012-12-18,37.4904,7652329,37.42,37.51,37.18
"10",2012-12-17,37.42,8928026,37.07,37.43,36.9
"11",2012-12-14,37.56,17447860,37.2,38.1,37
"12",2012-12-13,35.53,7496095,36.01,36.5,35.19
"13",2012-12-12,35.9597,4597986,35.73,36.28,35.685
"14",2012-12-11,35.54,5912895,35.8,36.11,35.47
"15",2012-12-10,35.75,3542041,35.45,35.78,35.4
"16",2012-12-07,35.48,2723685,35.4,35.5,34.94
"17",2012-12-06,35.14,5571849,35.25,35.68,35
"18",2012-12-05,35.4,4275055,35.3,35.63,34.86
"19",2012-12-04,35.3,6744091,34.79,35.64,34.67
"20",2012-12-03,34.7,3146294,34.78,34.85,34.57
"21",2012-11-30,34.61,4935373,34.19,34.81,33.85
"22",2012-11-29,34.09,3353690,34.08,34.17,33.78
"23",2012-11-28,33.88,2612550,33.16,33.94,32.94
"24",2012-11-27,33.18,2180304,33.19,33.59,33.16
"25",2012-11-26,33.295,2348435,33.22,33.33,33.05
"26",2012-11-23,33.4,1449763,33.06,33.43,32.99
"27",2012-11-21,32.84,1703603,32.75,32.98,32.53
"28",2012-11-20,32.64,2345315,32.8,32.95,32.515
"29",2012-11-19,32.92,2645470,32.93,32.9999,32.71
"30",2012-11-16,32.65,3447258,32.58,32.75,32.265
"31",2012-11-15,32.64,3817664,32.38,32.725,32.14
"32",2012-11-14,32.235,5566456,32.6,32.77,32.16
"33",2012-11-13,32.54,2597199,32.55,32.92,32.35
"34",2012-11-12,32.7,1911824,32.95,33.03,32.663
"35",2012-11-09,32.9,2581530,33.01,33.28,32.89
"36",2012-11-08,32.9803,4247844,33.5,33.57,32.92
"37",2012-11-07,33.47,4681476,34.11,34.15,33.46
"38",2012-11-06,34.39,2678811,34.42,34.66,34.245
"39",2012-11-05,34.24,2808498,34.18,34.33,33.835
"40",2012-11-02,34.39,4006239,34.59,34.6,34.23
"41",2012-11-01,34.36,3681653,34.08,34.64,33.8901
"42",2012-10-31,34.025,4253067,34,34.05,33.76
"43",2012-10-26,34.01,6310578,33.13,34.09,32.99
"44",2012-10-25,33.4,2868678,33.53,33.69,33.265
"45",2012-10-24,33.36,3381403,33.56,33.6,33.28
"46",2012-10-23,33.31,3151794,33.19,33.44,32.97
"47",2012-10-22,33.49,3684829,33.44,33.55,33.17
