"","date","close","volume","open","high","low"
"1",2012-12-31,357.3294,1997204,353.6014,358.9408,351.5809
"2",2012-12-28,353.6065,1400727,354.4551,357.092,353.6065
"3",2012-12-27,356.7788,1647392,357.2082,358.0669,352.8993
"4",2012-12-26,358.0821,1182317,357.6779,360.1077,354.8188
"5",2012-12-24,358.4003,841931,360.9311,361.2695,357.3749
"6",2012-12-21,361.4968,3525039,360.6583,363.1078,358.9156
"7",2012-12-20,364.8965,1656953,365.3511,366.0533,362.1745
"8",2012-12-19,363.7599,1918493,364.063,365.2198,362.0272
"9",2012-12-18,364.2448,3004838,361.9868,368.3011,361.2039
"10",2012-12-17,364.0983,3034558,356.3797,372.9384,355.6321
"11",2012-12-14,354.5931,2129893,353.1822,357.5517,352.8084
"12",2012-12-13,354.9653,3443866,361.6433,361.9237,353.3741
"13",2012-12-12,352.3689,2425774,353.2125,355.3745,350.3079
"14",2012-12-11,352.0254,2687108,348.55,354.5713,347.3983
"15",2012-12-10,346.2364,1366366,346.2213,349.3835,345.413
"16",2012-12-07,345.6252,1918392,351.0757,352.0254,344.7205
"17",2012-12-06,349.1208,1462216,347.3326,351.3838,345.7767
"18",2012-12-05,347.4488,1860794,349.636,350.8231,344.6756
"19",2012-12-04,349.0703,1991355,351.0757,351.3333,346.3779
"20",2012-12-03,351.202,2192348,354.733,356.5767,350.6266
"21",2012-11-30,352.778,3162630,349.2117,353.2074,346.3728
"22",2012-11-29,349.5047,2775139,347.4286,350.52,344.5088
"23",2012-11-28,345.3524,3041840,337.4418,345.9788,335.3606
"24",2012-11-27,338.8057,2508178,333.4815,340.9728,332.3853
"25",2012-11-26,333.9766,2202401,336.6488,336.9316,332.9006
"26",2012-11-23,337.4216,922477,338.4319,338.4471,336.477
"27",2012-11-21,336.3608,2111456,337.9369,338.3461,333.5977
"28",2012-11-20,338.4319,2087785,338.1996,342.4882,335.7041
"29",2012-11-19,337.5429,2368104,331.2235,337.9015,331.1376
"30",2012-11-16,326.9197,3437836,326.3186,329.8672,321.2722
"31",2012-11-15,326.9601,1848663,328.3442,333.3956,325.2608
"32",2012-11-14,329.6323,1667792,333.729,334.4968,328.5968
"33",2012-11-13,332.9174,1593945,334.9111,337.2347,332.5015
"34",2012-11-12,336.376,1405870,335.2899,338.3461,333.8351
