"","date","close","volume","open","high","low"
"1",2012-12-31,26.7097,42738170,26.59,26.77,26.37
"2",2012-12-28,26.55,28213450,26.71,26.9,26.55
"3",2012-12-27,26.96,39374100,26.89,27.09,26.57
"4",2012-12-26,26.86,31630310,27.03,27.2,26.7
"5",2012-12-24,27.06,20842330,27.2,27.25,27
"6",2012-12-21,27.45,98768670,27.45,27.49,27
"7",2012-12-20,27.68,52466340,27.36,27.68,27.15
"8",2012-12-19,27.31,53517320,27.69,27.73,27.25
"9",2012-12-18,27.56,50479190,27.25,27.63,27.14
"10",2012-12-17,27.095,41962360,26.79,27.215,26.68
"11",2012-12-14,26.81,42065660,27.11,27.13,26.7
"12",2012-12-13,27.11,45067520,27.32,27.52,26.95
"13",2012-12-12,27.24,43942760,27.53,27.62,27.08
"14",2012-12-11,27.32,52273740,27.05,27.49,27.05
"15",2012-12-10,26.94,47023620,26.56,26.97,26.52
"16",2012-12-07,26.455,46129260,26.82,26.82,26.37
"17",2012-12-06,26.725,39176490,26.81,26.98,26.61
"18",2012-12-05,26.67,68118800,26.38,26.93,26.26
"19",2012-12-04,26.37,49754240,26.5,26.63,26.34
"20",2012-12-03,26.4294,53100580,26.78,26.82,26.4
"21",2012-11-30,26.615,83659810,27.05,27.13,26.49
"22",2012-11-29,26.95,69502760,27.11,27.36,26.86
"23",2012-11-28,27.36,52990780,27.01,27.39,26.77
"24",2012-11-27,27.08,45004150,27.3599,27.38,27.0424
"25",2012-11-26,27.385,85161780,27.54,27.58,27.17
"26",2012-11-23,27.7,57845670,27.23,27.77,27.2
"27",2012-11-21,26.95,66340540,26.71,27.1666,26.67
"28",2012-11-20,26.71,47037410,26.76,26.8,26.46
"29",2012-11-19,26.7277,57114540,26.8,26.8,26.47
"30",2012-11-16,26.5209,64079170,26.67,26.7,26.3449
"31",2012-11-15,26.6607,50934410,26.88,26.97,26.63
"32",2012-11-14,26.84,76079830,27.24,27.29,26.8
"33",2012-11-13,27.0895,131650400,27.02,27.3,26.75
"34",2012-11-12,28.22,61053880,28.94,29.01,28.21
"35",2012-11-09,28.83,43284250,28.88,29.19,28.805
"36",2012-11-08,28.81,49820680,29.12,29.37,28.8
"37",2012-11-07,29.08,57870520,29.53,29.825,29.05
"38",2012-11-06,29.86,43401450,29.82,30.2,29.61
"39",2012-11-05,29.63,38070220,29.62,29.74,29.33
"40",2012-11-02,29.4998,57131350,29.59,29.77,29.33
"41",2012-11-01,29.515,72012880,28.84,29.56,28.82
"42",2012-10-31,28.54,69463530,28.55,28.88,28.5
"43",2012-10-26,28.21,9999999,27.86,28.34,27.84
"44",2012-10-25,27.88,54067710,28.19,28.2,27.86
"45",2012-10-24,27.9019,53305230,28.16,28.2,27.87
"46",2012-10-23,28.047,64410890,27.765,28.2,27.76
"47",2012-10-22,28,83363190,28.73,28.83,27.83
"48",2012-10-19,28.64,90456680,29.05,29.08,28.5
"49",2012-10-18,29.495,58769600,29.65,29.73,29.26
"50",2012-10-17,29.59,44203000,29.3,29.64,29.09
"51",2012-10-16,29.49,47730570,29.45,29.74,29.32
"52",2012-10-15,29.51,42438980,29.37,29.72,29.25
"53",2012-10-12,29.2,46461930,28.97,29.32,28.8
"54",2012-10-11,28.95,41479760,29.215,29.25,28.87
"55",2012-10-10,28.98,47208530,29.15,29.31,28.95
"56",2012-10-09,29.28,45117520,29.68,29.74,29.18
"57",2012-10-08,29.78,29751970,29.64,29.92,29.55
"58",2012-10-05,29.85,41132200,30.23,30.25,29.74
"59",2012-10-04,30.03,43625820,29.97,30.03,29.57
"60",2012-10-03,29.86,46643520,29.75,29.99,29.67
"61",2012-10-02,29.66,42746840,29.68,29.89,29.5
"62",2012-10-01,29.49,53988480,29.81,29.98,29.42
"63",2012-09-28,29.76,54224570,30.18,30.26,29.74
"64",2012-09-27,30.16,47047090,30.17,30.4,29.89
"65",2012-09-26,30.165,54655030,30.28,30.6,30.04
"66",2012-09-25,30.39,54233980,30.95,31,30.36
"67",2012-09-24,30.78,46738320,31,31.07,30.64
"68",2012-09-21,31.19,102277200,31.43,31.61,31.09
