"","date","close","volume","open","high","low"
"1",2013-12-31,16.02,5894431,16,16.1,15.9
"2",2013-12-30,15.97,6204467,15.77,15.98,15.75
"3",2013-12-27,15.76,5274425,15.75,15.79,15.66
"4",2013-12-26,15.67,4223004,15.88,15.925,15.63
"5",2013-12-24,15.82,1990034,15.87,15.87,15.66
"6",2013-12-23,15.78,4195738,15.78,15.91,15.65
"7",2013-12-20,15.685,9546431,15.41,15.7,15.37
"8",2013-12-19,15.38,6463632,15.3,15.4,15.2
"9",2013-12-18,15.32,10655790,15.14,15.35,14.95
"10",2013-12-17,15.11,6852637,15.03,15.15,14.9
"11",2013-12-16,15.04,5940503,15.03,15.17,15.02
"12",2013-12-13,15.02,4614724,15.14,15.25,15
"13",2013-12-12,15.11,6461071,15.36,15.44,15.08
"14",2013-12-11,15.41,10353900,15.59,15.61,15.38
"15",2013-12-10,15.56,13106720,15.21,15.63,15.19
"16",2013-12-09,15.205,9630480,15.47,15.52,15.18
"17",2013-12-06,15.47,7025014,15.89,15.89,15.43
"18",2013-12-05,15.7,6795314,15.99,15.99,15.68
"19",2013-12-04,15.96,12329430,15.7,15.99,15.655
"20",2013-12-03,15.74,7264021,15.75,15.955,15.64
"21",2013-12-02,15.75,9346848,15.54,15.86,15.51
"22",2013-11-29,15.6,2924092,15.7,15.74,15.5
"23",2013-11-27,15.7,4531837,15.63,15.745,15.53
"24",2013-11-26,15.64,18829380,15.68,15.805,15.575
"25",2013-11-25,15.51,6202415,15.18,15.53,15.18
"26",2013-11-22,15.18,3966684,15.35,15.35,15.15
"27",2013-11-21,15.33,5339156,15.23,15.36,15.16
"28",2013-11-20,15.21,5119353,15.45,15.49,15.18
"29",2013-11-19,15.44,5165134,15.62,15.76,15.42
"30",2013-11-18,15.78,7923714,15.82,15.96,15.74
"31",2013-11-15,16.17,6258291,16.28,16.3,16.01
"32",2013-11-14,16.22,7699506,16.1,16.315,16.09
"33",2013-11-13,16.15,8319792,15.68,16.15,15.65
"34",2013-11-12,15.715,7900788,15.76,15.85,15.54
"35",2013-11-11,15.69,7440625,15.5,15.73,15.47
"36",2013-11-08,15.56,18363320,15,15.61,14.935
"37",2013-11-07,14.545,13808760,14.85,14.89,14.52
"38",2013-11-06,14.9,4950992,14.8,14.91,14.65
"39",2013-11-05,14.8,10559230,14.73,14.865,14.57
"40",2013-11-04,14.82,10256420,15.31,15.31,14.79
"41",2013-11-01,15.255,5153427,15.27,15.33,15.15
"42",2013-10-31,15.189,7334228,15.24,15.35,15.16
"43",2013-10-30,15.22,5100363,15.28,15.35,15.09
"44",2013-10-29,15.23,9698815,15.19,15.26,15.05
"45",2013-10-28,15.21,9321949,15.22,15.29,15
"46",2013-10-25,15.24,8262332,15.47,15.48,15.19
"47",2013-10-24,15.385,5910900,15.54,15.64,15.364
"48",2013-10-23,15.501,6305379,15.74,15.74,15.45
"49",2013-10-22,15.77,4486250,15.85,15.86,15.63
"50",2013-10-21,15.85,4875242,16,16.01,15.8
"51",2013-10-18,15.81,6376653,15.6,15.86,15.54
"52",2013-10-17,15.63,5333061,15.48,15.67,15.48
"53",2013-10-16,15.6,5217312,15.5,15.66,15.48
"54",2013-10-15,15.41,5220545,15.49,15.5799,15.4
"55",2013-10-14,15.49,4165705,15.22,15.49,15.22
"56",2013-10-11,15.26,5339913,15.15,15.34,15.1
"57",2013-10-10,15.385,5587144,15.33,15.43,15.22
"58",2013-10-09,15.22,6896549,15.56,15.57,15.14
"59",2013-10-08,15.46,7267694,15.55,15.77,15.34
"60",2013-10-07,15.59,4248798,15.53,15.7,15.45
"61",2013-10-04,15.59,6141822,15.36,15.72,15.32
"62",2013-10-03,15.38,10919160,15.55,15.692,15.305
"63",2013-10-02,15.54,4050894,15.39,15.6,15.39
"64",2013-10-01,15.55,5674359,15.58,15.655,15.465
"65",2013-09-30,15.56,5663205,15.42,15.67,15.33
"66",2013-09-27,15.58,3797976,15.55,15.68,15.49
"67",2013-09-26,15.67,3720367,15.76,15.79,15.58
"68",2013-09-25,15.725,5828944,15.67,15.84,15.6
"69",2013-09-24,15.7,5703006,15.65,15.76,15.56
"70",2013-09-23,15.64,6781130,15.78,15.91,15.55
"71",2013-09-20,15.795,8881511,15.97,16.069,15.76
"72",2013-09-19,15.925,5689280,16.07,16.1,15.86
"73",2013-09-18,15.999,6704142,15.87,16.04,15.79
"74",2013-09-17,15.86,4215183,15.87,15.99,15.8
"75",2013-09-16,15.81,5889208,15.93,16.04,15.75
"76",2013-09-13,15.8,3992418,15.75,15.87,15.64
"77",2013-09-12,15.7,7595231,15.63,15.9,15.63
"78",2013-09-11,15.71,9904141,15.43,15.75,15.323
"79",2013-09-10,15.45,7303331,15.24,15.46,15.17
"80",2013-09-09,15.125,6134130,15,15.13,14.96
"81",2013-09-06,14.88,5668872,14.95,15.03,14.765
"82",2013-09-05,14.94,4343231,14.84,15,14.83
"83",2013-09-04,14.9,5551997,14.76,14.99,14.74
"84",2013-09-03,14.76,7116950,14.79,14.97,14.67
"85",2013-08-30,14.75,9541589,14.78,14.82,14.68
"86",2013-08-29,14.77,6904449,14.75,14.91,14.71
"87",2013-08-28,14.8,7970607,14.83,14.94,14.74
"88",2013-08-27,14.805,6936522,14.85,14.95,14.75
"89",2013-08-26,14.995,7508159,14.97,15.03,14.93
"90",2013-08-23,14.96,6129865,14.98,15.1,14.93
"91",2013-08-22,14.96,3217673,14.87,15.1,14.87
"92",2013-08-21,14.88,6538524,14.86,15.05,14.82
"93",2013-08-20,14.95,5855371,14.87,15.05,14.85
"94",2013-08-19,14.95,9835807,15.1,15.15,14.94
"95",2013-08-16,15.189,16511370,15.1,15.4,15.07
"96",2013-08-15,15.125,18090390,14.87,15.25,14.81
"97",2013-08-14,15.03,20712270,14.39,15.12,14.38
"98",2013-08-13,14.42,4936666,14.39,14.48,14.3
"99",2013-08-12,14.37,6439163,13.9,14.58,13.11
"100",2013-08-09,14.49,22655640,14.12,14.71,14.11
"101",2013-08-08,14.699,8582219,14.68,14.765,14.51
"102",2013-08-07,14.6,6109537,14.53,14.75,14.52
"103",2013-08-06,14.61,5165229,14.84,14.87,14.58
"104",2013-08-05,14.83,4629714,14.72,14.88,14.645
"105",2013-08-02,14.76,5228977,14.61,14.79,14.51
"106",2013-08-01,14.64,6937539,14.49,14.67,14.32
"107",2013-07-31,14.435,6753993,14.34,14.58,14.33
"108",2013-07-30,14.41,6651862,14.22,14.6,14.21
"109",2013-07-29,14.17,4488482,14.17,14.35,14.13
"110",2013-07-26,14.2,5683999,14.09,14.285,14.09
"111",2013-07-25,14.26,6082933,14.2,14.445,14.1
"112",2013-07-24,14.21,7106268,14.34,14.38,14.19
"113",2013-07-23,14.21,6169787,14.41,14.41,14.14
"114",2013-07-22,14.23,7309115,14.35,14.48,14.17
"115",2013-07-19,14.24,12013210,14.46,14.53,14.09
"116",2013-07-18,14.55,8609201,14.59,14.64,14.36
"117",2013-07-17,14.61,4152447,14.69,14.74,14.57
"118",2013-07-16,14.69,4063924,14.67,14.77,14.595
"119",2013-07-15,14.61,5033124,14.67,14.67,14.38
"120",2013-07-12,14.64,5408977,14.6,14.78,14.55
"121",2013-07-11,14.63,5995754,14.51,14.65,14.48
"122",2013-07-10,14.43,5211631,14.24,14.47,14.2
"123",2013-07-09,14.241,3934067,14.2,14.3275,14.16
"124",2013-07-08,14.165,6552091,14.28,14.35,14.09
"125",2013-07-05,14.24,4617003,14.17,14.27,14.075
"126",2013-07-03,14.13,3509626,13.97,14.3,13.97
"127",2013-07-02,14.09,6409772,14.02,14.3,13.96
"128",2013-07-01,14.1,4988089,14.14,14.17,14.0149
"129",2013-06-28,14.04,10787900,14.01,14.18,13.83
"130",2013-06-27,14.01,20200840,14.18,14.2,13.86
"131",2013-06-26,14.14,14493120,14.38,14.395,14.08
"132",2013-06-25,14.22,11433990,14.27,14.3,14.07
"133",2013-06-24,14.12,14519270,14.21,14.39,13.91
"134",2013-06-21,14.415,17856560,14.52,14.57,14.18
"135",2013-06-20,14.44,15717350,14.72,14.74,14.335
"136",2013-06-19,14.84,28989640,14.53,15.48,14.48
"137",2013-06-18,14.4,12134990,14.56,14.72,14.28
"138",2013-06-17,14.49,6383306,14.46,14.62,14.38
"139",2013-06-14,14.35,5900141,14.42,14.441,14.25
"140",2013-06-13,14.37,5905741,14,14.44,13.99
"141",2013-06-12,14.05,7814620,14.24,14.355,13.97
"142",2013-06-11,14.17,7407635,14.25,14.45,14.17
"143",2013-06-10,14.44,5603052,14.41,14.53,14.33
"144",2013-06-07,14.445,6864547,14.35,14.54,14.29
"145",2013-06-06,14.25,8393406,14.16,14.36,14.15
"146",2013-06-05,14.16,11612950,14.45,14.56,14.12
"147",2013-06-04,14.47,9091806,14.54,14.8,14.38
"148",2013-06-03,14.45,11111620,14.49,14.6,14.15
"149",2013-05-31,14.47,14437490,14.55,14.76,14.47
"150",2013-05-30,14.63,7112502,14.42,14.775,14.38
"151",2013-05-29,14.44,8374414,14.44,14.5301,14.38
"152",2013-05-28,14.53,6982413,14.65,14.69,14.39
"153",2013-05-24,14.54,7082532,14.55,14.67,14.38
"154",2013-05-23,14.63,9847057,14.23,14.675,14.19
"155",2013-05-22,14.4,12009890,14.98,14.98,14.34
"156",2013-05-21,14.92,8944527,14.85,14.98,14.675
"157",2013-05-20,14.84,5909473,14.81,14.895,14.76
"158",2013-05-17,14.87,7802832,14.7,14.97,14.59
"159",2013-05-16,14.63,7709115,14.68,14.83,14.58
"160",2013-05-15,14.695,7829110,14.38,14.75,14.38
"161",2013-05-14,14.45,11349380,14.41,14.57,14.265
"162",2013-05-13,14.24,7244947,14.44,14.5,14.18
"163",2013-05-10,14.54,21528100,14.2,14.6,14.2
"164",2013-05-09,13.91,14074820,13.65,13.97,13.63
"165",2013-05-08,13.899,8348553,13.67,13.98,13.62
"166",2013-05-07,13.65,11201660,13.83,13.86,13.52
"167",2013-05-06,13.83,5427497,13.87,13.945,13.75
"168",2013-05-03,13.87,7345663,13.9,13.97,13.82
"169",2013-05-02,13.81,8086750,13.64,13.85,13.56
"170",2013-05-01,13.65,8532822,13.77,13.86,13.6025
"171",2013-04-30,13.77,6830887,13.6,13.77,13.51
"172",2013-04-29,13.57,6742210,13.43,13.62,13.37
"173",2013-04-26,13.41,8108269,13.45,13.47,13.335
"174",2013-04-25,13.47,8830561,13.43,13.5,13.31
"175",2013-04-24,13.36,13913470,12.96,13.47,12.95
"176",2013-04-23,12.92,9422316,12.7,13.05,12.68
"177",2013-04-22,12.59,6139119,12.56,12.7,12.46
"178",2013-04-19,12.57,7575697,12.53,12.605,12.37
"179",2013-04-18,12.54,10063690,12.82,12.9,12.54
"180",2013-04-17,12.785,13323630,12.86,12.98,12.71
"181",2013-04-16,12.96,11721030,12.94,13.05,12.87
"182",2013-04-15,12.82,10755470,13.05,13.09,12.74
"183",2013-04-12,13.09,19260130,12.83,13.23,12.72
"184",2013-04-11,12.77,24229960,12.65,12.85,12.3
"185",2013-04-10,12.83,9617104,12.64,12.85,12.61
"186",2013-04-09,12.63,9514523,12.44,12.72,12.35
"187",2013-04-08,12.43,8166419,12.47,12.47,12.195
"188",2013-04-05,12.46,13783270,12.07,12.46,12.04
"189",2013-04-04,12.245,7366850,12.09,12.29,12.05
"190",2013-04-03,12.126,8809120,12.26,12.33,12.04
"191",2013-04-02,12.275,9287074,12.42,12.45,12.2
"192",2013-04-01,12.41,11070640,12.8,12.8,12.32
"193",2013-03-28,12.83,8731828,12.62,12.84,12.53
"194",2013-03-27,12.65,6372311,12.45,12.72,12.42
"195",2013-03-26,12.5,5813496,12.44,12.51,12.39
"196",2013-03-25,12.41,9051901,12.55,12.56,12.32
"197",2013-03-22,12.48,5764249,12.46,12.53,12.41
"198",2013-03-21,12.42,8475752,12.55,12.57,12.4
"199",2013-03-20,12.62,8513201,12.59,12.66,12.475
"200",2013-03-19,12.47,8868375,12.56,12.62,12.38
"201",2013-03-18,12.55,7457792,12.56,12.67,12.46
"202",2013-03-15,12.64,8882160,12.75,12.75,12.59
"203",2013-03-14,12.75,9582541,12.82,12.86,12.67
"204",2013-03-13,12.74,12145900,12.74,12.9562,12.62
"205",2013-03-12,12.74,7771097,12.68,12.78,12.56
"206",2013-03-11,12.695,7493637,12.69,12.75,12.59
"207",2013-03-08,12.82,6161582,12.79,12.88,12.73
"208",2013-03-07,12.76,7868450,12.86,12.99,12.6871
"209",2013-03-06,12.79,8572083,12.88,13,12.73
"210",2013-03-05,12.8,9152332,12.73,12.82,12.665
"211",2013-03-04,12.655,8841914,12.62,12.775,12.52
"212",2013-03-01,12.71,9734824,12.57,12.75,12.455
"213",2013-02-28,12.66,14784740,12.56,12.85,12.51
"214",2013-02-27,12.6,11915920,12.37,12.69,12.34
"215",2013-02-26,12.37,12187500,12.25,12.435,12.2091
"216",2013-02-25,12.3,16111030,12.55,12.65,12.28
"217",2013-02-22,12.52,9253663,12.37,12.53,12.3
"218",2013-02-21,12.29,14510130,12.36,12.5,12.26
"219",2013-02-20,12.38,17823910,12.6,12.8,12.34
"220",2013-02-19,12.555,10838620,12.74,12.75,12.48
"221",2013-02-15,12.731,18346460,12.7,12.79,12.45
"222",2013-02-14,12.73,22046900,12.2,12.74,12.05
"223",2013-02-13,12.37,21312090,12.44,12.665,12.33
"224",2013-02-12,12.43,6944565,12.395,12.565,12.38
"225",2013-02-11,12.51,10207600,12.47,12.635,12.35
"226",2013-02-08,12.37,7675336,12.37,12.4699,12.29
"227",2013-02-07,12.29,10999930,12.3,12.4,12.17
"228",2013-02-06,12.34,13214310,12.14,12.44,12.07
"229",2013-02-05,12.44,9181502,12.22,12.51,12.18
"230",2013-02-04,12.16,12793600,12.3,12.55,12.15
"231",2013-02-01,12.37,7220023,12.36,12.41,12.26
"232",2013-01-31,12.26,11762880,12.32,12.46,12.18
"233",2013-01-30,12.32,7184218,12.35,12.52,12.275
"234",2013-01-29,12.34,9716973,12.56,12.59,12.29
"235",2013-01-28,12.61,10562210,12.47,12.69,12.44
"236",2013-01-25,12.41,9847355,12.21,12.42,12.15
"237",2013-01-24,12.19,9924449,12.09,12.24,12.03
"238",2013-01-23,12.13,10536670,12.15,12.16,12
"239",2013-01-22,12.11,7705429,12.16,12.27,12.05
"240",2013-01-18,12.17,9927131,12.25,12.25,12.02
"241",2013-01-17,12.25,14515740,12.13,12.3,12.1
"242",2013-01-16,12.09,8433992,11.96,12.19,11.96
"243",2013-01-15,11.98,9394119,12.14,12.14,11.91
"244",2013-01-14,12.2,7640436,12.29,12.29,12.06
"245",2013-01-11,12.21,12829260,12.28,12.29,12.09
"246",2013-01-10,12.23,12658110,12.32,12.38,12.16
"247",2013-01-09,12.21,17374920,12.59,12.65,12.13
"248",2013-01-08,12.4915,11655600,12.8,12.84,12.4
"249",2013-01-07,12.77,15267560,13.14,13.18,12.68
"250",2013-01-04,13.15,13119850,12.75,13.19,12.71
"251",2013-01-03,12.73,7472170,12.72,12.87,12.58
"252",2013-01-02,12.72,11970890,12.56,12.73,12.51
