"","date","close","volume","open","high","low"
"1",2015-12-31,105.26,40885480,107.01,107.03,104.82
"2",2015-12-30,107.32,25184090,108.58,108.7,107.18
"3",2015-12-29,108.74,30912260,106.96,109.43,106.86
"4",2015-12-28,106.82,26639930,107.59,107.69,106.1807
"5",2015-12-24,108.03,13596680,109,109,107.95
"6",2015-12-23,108.61,32618140,107.27,108.85,107.2
"7",2015-12-22,107.23,32728460,107.4,107.72,106.451
"8",2015-12-21,107.33,47507230,107.28,107.37,105.57
"9",2015-12-18,106.03,96197190,108.91,109.52,105.81
"10",2015-12-17,108.98,44654830,112.02,112.25,108.98
"11",2015-12-16,111.34,56157370,111.07,111.99,108.8
"12",2015-12-15,110.49,53168580,111.94,112.8,110.35
"13",2015-12-14,112.48,64678220,112.18,112.68,109.79
"14",2015-12-11,113.18,46810020,115.19,115.39,112.851
"15",2015-12-10,116.17,29158640,116.04,116.94,115.51
"16",2015-12-09,115.62,46301930,117.64,117.69,115.08
"17",2015-12-08,118.23,34275420,117.52,118.6,116.86
"18",2015-12-07,118.28,32063100,118.98,119.86,117.81
"19",2015-12-04,119.03,57717870,115.29,119.25,115.11
"20",2015-12-03,115.2,41511380,116.55,116.79,114.22
"21",2015-12-02,116.28,33316990,117.05,118.11,116.08
"22",2015-12-01,117.34,34806250,118.75,118.81,116.86
"23",2015-11-30,118.3,38063130,117.99,119.41,117.75
"24",2015-11-27,117.81,13046450,118.29,118.41,117.6
"25",2015-11-25,118.03,21341960,119.21,119.23,117.92
"26",2015-11-24,118.88,42747950,117.33,119.35,117.12
"27",2015-11-23,117.75,32445680,119.27,119.73,117.34
"28",2015-11-20,119.3,34135230,119.2,119.92,118.85
"29",2015-11-19,118.78,43233950,117.64,119.75,116.76
"30",2015-11-18,117.29,46559730,115.76,117.49,115.5
"31",2015-11-17,113.69,27584020,114.92,115.05,113.32
"32",2015-11-16,114.175,37979570,111.38,114.24,111
"33",2015-11-13,112.34,45555300,115.2,115.57,112.27
"34",2015-11-12,115.72,32461350,116.26,116.82,115.65
"35",2015-11-11,116.11,45179400,116.37,117.42,115.21
"36",2015-11-10,116.77,59029400,116.9,118.07,116.061
