"","date","close","volume","open","high","low"
"1",2016-12-30,102.95,2095842,104.07,104.22,102.47
"2",2016-12-29,103.68,1094980,103.63,104.3911,103.41
"3",2016-12-28,103.77,1723480,104.83,105.16,103.5
"4",2016-12-27,104.98,1047440,105,105.9,104.86
"5",2016-12-23,105.02,1047549,104.61,105.42,104.61
"6",2016-12-22,104.72,1717345,105.12,105.1455,103.95
"7",2016-12-21,105.51,2507677,105.74,106.06,104.48
"8",2016-12-20,105.77,2194354,105.5,105.88,104.76
"9",2016-12-19,105.29,3565550,103.57,106.08,103.41
"10",2016-12-16,103.55,8948871,107.8,107.8,101.91
"11",2016-12-15,105.1,5597362,106.33,106.48,104.6
"12",2016-12-14,105.81,3212877,106.3,106.79,105.44
"13",2016-12-13,106.15,3360550,105.74,107.6,105.62
"14",2016-12-12,105.16,2711562,104.62,105.24,103.52
"15",2016-12-09,104.31,2616827,104,104.5,103.42
"16",2016-12-08,103.5,1852118,103.36,104.07,102.54
"17",2016-12-07,103.36,2728892,100.89,103.51,100.89
"18",2016-12-06,101.55,2679863,101.99,101.99,100.71
"19",2016-12-05,101.95,2319324,100.46,102.52,100.16
"20",2016-12-02,99.73,3514357,99.52,100.145,98
"21",2016-12-01,99.51,5118991,102.82,102.92,98.87
"22",2016-11-30,102.81,3397206,104.99,105.46,102.8
"23",2016-11-29,104.95,2353051,104.27,105.98,104.26
"24",2016-11-28,104.5,1541150,104.81,105.15,104.09
"25",2016-11-25,105.02,938191,104.17,105.03,103.9
"26",2016-11-23,104.21,2144618,105.41,105.56,103.98
"27",2016-11-22,105.21,1693963,105.85,106.3594,105.04
"28",2016-11-21,105.65,1805856,105.56,106.141,105.14
"29",2016-11-18,105.02,2357748,106.19,106.8,104.72
"30",2016-11-17,105.81,2602088,103.77,105.93,103.4801
"31",2016-11-16,104.08,2459250,103.61,104.4,102.96
"32",2016-11-15,103.66,2561039,103.14,104.76,102.55
"33",2016-11-14,102.42,3040481,104.12,104.49,101.77
"34",2016-11-11,103.68,3833659,103.62,104.4699,102.62
