"","date","close","volume","open","high","low"
"1",2016-12-30,792.45,1735522,803.21,803.285,789.62
"2",2016-12-29,802.88,1057004,802.33,805.75,798.144
"3",2016-12-28,804.57,1202240,813.33,813.33,802.44
"4",2016-12-27,809.93,974738,808.68,816,805.8
"5",2016-12-23,807.8,764767,808.01,810.9696,805.11
"6",2016-12-22,809.68,1132047,809.1,811.07,806.03
"7",2016-12-21,812.2,1457480,815.72,815.72,805.1
"8",2016-12-20,815.2,1270529,813.37,816.49,811
"9",2016-12-19,812.5,1263416,809.28,816.22,804.5
"10",2016-12-16,809.84,2597948,818.31,819.2,808.12
"11",2016-12-15,815.65,1768545,817.36,823,812
"12",2016-12-14,817.89,1797612,815.92,824.26,812.78
"13",2016-12-13,815.34,2104198,812.39,824.3,811.94
"14",2016-12-12,807.9,1627711,804.82,811.35,804.5311
"15",2016-12-09,809.45,1900034,799.3,809.95,798.05
"16",2016-12-08,795.17,1611923,792.95,799,787.905
"17",2016-12-07,791.47,2026403,779.95,792,773.53
"18",2016-12-06,776.18,1733244,780.19,785.28,773.32
"19",2016-12-05,778.22,1685519,770,780,766.9686
"20",2016-12-02,764.46,1696488,761.9,770.5,759
"21",2016-12-01,764.33,2863993,778.55,778.6,753.36
"22",2016-11-30,775.88,2272782,789.1,791.51,773.145
"23",2016-11-29,789.44,1560963,788.38,796.44,785.34
"24",2016-11-28,785.79,2569319,778.35,799.74,778.1
"25",2016-11-25,780.23,613549,782.61,782.9,778.19
"26",2016-11-23,779,1311228,789.52,789.52,772.65
"27",2016-11-22,785,1391312,788.99,793.77,783.74
"28",2016-11-21,784.8,1628530,778.1,786.55,776.3
"29",2016-11-18,775.97,1800135,787.17,791.29,775.35
"30",2016-11-17,786.16,1531650,782.5,788.9,779.85
"31",2016-11-16,779.98,1796559,770.42,783.5,766.33
"32",2016-11-15,775.16,2940057,765.47,780.2376,765.22
"33",2016-11-14,753.22,3681471,771.76,771.78,743.59
"34",2016-11-11,771.75,3587879,776.81,777.29,765.54
"35",2016-11-10,780.29,5902116,810,810.06,768.23
"36",2016-11-09,805.59,3095105,801.83,811.71,792.035
"37",2016-11-08,811.98,1759885,802.03,816.04,799.62
"38",2016-11-07,802.03,1986464,794.95,805,792.9
"39",2016-11-04,781.1,1967620,771.3,788.48,771.0043
"40",2016-11-03,782.19,2173340,784.5,790,778.63
"41",2016-11-02,788.42,2284886,806.76,806.76,785
"42",2016-11-01,805.48,2354652,810.87,813.96,798.26
"43",2016-10-31,809.9,2238967,822.43,822.63,808
"44",2016-10-28,819.56,4352704,829.94,839,817
"45",2016-10-27,817.35,2939601,823.01,826.58,814.61
"46",2016-10-26,822.1,1791756,827.12,827.71,816.35
"47",2016-10-25,828.55,1887068,838.5,838.5,825.3005
"48",2016-10-24,835.74,1444851,830.09,837.94,829.04
"49",2016-10-21,824.06,1612418,820,824.29,818.31
"50",2016-10-20,821.63,1385811,827.56,828.465,820.55
"51",2016-10-19,827.09,1497429,824.52,829.81,823.205
"52",2016-10-18,821.49,2287485,814.21,828.81,813.33
"53",2016-10-17,806.84,1055806,805.99,813.49,803.83
"54",2016-10-14,804.6,1106895,807.45,810.09,802.32
"55",2016-10-13,804.08,1368311,806.07,806.56,798.62
"56",2016-10-12,811.77,905703,811.96,814.5,808.5545
"57",2016-10-11,809.57,1719835,814.17,819.86,807.37
"58",2016-10-10,814.17,1489003,803.93,817.38,802.24
"59",2016-10-07,800.71,1163810,805.93,805.94,796.82
"60",2016-10-06,803.08,1098158,804.08,806.945,800.51
"61",2016-10-05,801.23,1209183,806,808.5,800.71
"62",2016-10-04,802.79,1257681,805,806.5,799.67
"63",2016-10-03,800.38,1487130,802.55,803.54,796.23
"64",2016-09-30,804.06,1628896,803.6,808.09,801.5
"65",2016-09-29,802.64,1348241,807.23,813.91,800.855
"66",2016-09-28,810.06,1469220,804.08,810.25,802.7803
"67",2016-09-27,810.73,1362135,801.83,813.49,801.83
"68",2016-09-26,802.65,1431779,809.82,810.08,800.45
"69",2016-09-23,814.96,1411216,815.14,817,812.73
"70",2016-09-22,815.95,1757641,810,819.06,807.71
"71",2016-09-21,805.03,1346610,801.26,805.91,796.03
"72",2016-09-20,799.78,1049912,800,802.75,798.26
"73",2016-09-19,795.39,1146770,801.11,803.99,793.56
"74",2016-09-16,797.97,2129528,799.02,799.02,793.62
"75",2016-09-15,801.23,1563899,790.01,803.645,788.66
"76",2016-09-14,790.46,1313008,787.53,796.33,787.53
"77",2016-09-13,788.72,1808015,794.01,795.79,784.33
