"","date","close","volume","open","high","low"
"1",2016-12-30,62.14,25575720,62.96,62.99,62.03
"2",2016-12-29,62.9,10248460,62.86,63.2,62.73
"3",2016-12-28,62.99,14348340,63.4,63.4,62.83
"4",2016-12-27,63.28,11743650,63.21,64.07,63.21
"5",2016-12-23,63.24,12399540,63.45,63.54,62.8
"6",2016-12-22,63.55,22175270,63.84,64.1,63.405
"7",2016-12-21,63.54,17084370,63.43,63.7,63.12
"8",2016-12-20,63.54,26017470,63.69,63.8,63.025
"9",2016-12-19,63.62,34318500,62.56,63.77,62.42
"10",2016-12-16,62.3,42452660,62.95,62.95,62.115
"11",2016-12-15,62.58,27661180,62.7,63.1535,62.3
"12",2016-12-14,62.68,30335770,63,63.45,62.53
"13",2016-12-13,62.98,35072050,62.5,63.42,62.24
"14",2016-12-12,62.17,20186390,61.82,62.3,61.72
"15",2016-12-09,61.97,27337160,61.18,61.99,61.125
"16",2016-12-08,61.01,21201400,61.3,61.58,60.84
"17",2016-12-07,61.37,30807320,60.01,61.38,59.8
"18",2016-12-06,59.95,19966340,60.43,60.46,59.8
"19",2016-12-05,60.22,23552030,59.7,60.585,59.56
"20",2016-12-02,59.25,25464230,59.08,59.47,58.8
"21",2016-12-01,59.2,34518030,60.11,60.15,58.935
"22",2016-11-30,60.26,34641520,60.86,61.18,60.215
"23",2016-11-29,61.09,22365860,60.65,61.41,60.52
"24",2016-11-28,60.61,20604370,60.34,61.02,60.21
"25",2016-11-25,60.53,8409616,60.3,60.53,60.13
"26",2016-11-23,60.4,21847500,61.01,61.1,60.25
"27",2016-11-22,61.12,23205870,60.98,61.26,60.805
"28",2016-11-21,60.86,19638240,60.5,60.97,60.42
"29",2016-11-18,60.35,27210170,60.78,61.14,60.3
"30",2016-11-17,60.64,32084890,60.41,60.95,59.965
"31",2016-11-16,59.65,27329530,58.94,59.66,58.81
"32",2016-11-15,58.87,35850360,58.33,59.49,58.315
"33",2016-11-14,58.12,41248640,59.02,59.08,57.28
"34",2016-11-11,59.02,35932400,58.23,59.116,58.01
"35",2016-11-10,58.7,57770560,60.48,60.49,57.6302
"36",2016-11-09,60.17,49588490,60,60.59,59.2
"37",2016-11-08,60.47,22923800,60.55,60.78,60.15
"38",2016-11-07,60.42,31652340,59.78,60.52,59.78
"39",2016-11-04,58.71,28693430,58.65,59.28,58.52
"40",2016-11-03,59.21,21448620,59.53,59.64,59.11
"41",2016-11-02,59.43,22118490,59.82,59.93,59.3
"42",2016-11-01,59.8,24474870,59.97,60.02,59.25
"43",2016-10-31,59.92,26418340,60.16,60.42,59.92
"44",2016-10-28,59.87,33569190,60.01,60.52,59.58
"45",2016-10-27,60.1,28444550,60.61,60.83,60.09
"46",2016-10-26,60.63,29908240,60.81,61.2,60.47
"47",2016-10-25,60.99,35119480,60.85,61.3699,60.8
"48",2016-10-24,61,54039610,59.94,61,59.93
"49",2016-10-21,59.66,80008400,60.28,60.45,59.485
"50",2016-10-20,57.25,48880910,57.5,57.52,56.66
"51",2016-10-19,57.53,22840410,57.47,57.84,57.395
"52",2016-10-18,57.66,18862790,57.53,57.945,57.41
"53",2016-10-17,57.22,23829490,57.36,57.46,56.87
"54",2016-10-14,57.42,27221480,57.12,57.74,57.12
"55",2016-10-13,56.92,25217590,56.7,57.3,56.315
"56",2016-10-12,57.11,22157100,57.11,57.27,56.4
"57",2016-10-11,57.19,26483780,57.89,58.02,56.89
"58",2016-10-10,58.04,18085830,57.91,58.39,57.87
"59",2016-10-07,57.8,20062440,57.85,57.98,57.42
"60",2016-10-06,57.74,16194470,57.74,57.86,57.28
"61",2016-10-05,57.64,16708620,57.29,57.9601,57.26
"62",2016-10-04,57.24,20061950,57.27,57.595,56.97
"63",2016-10-03,57.42,19156410,57.405,57.55,57.06
"64",2016-09-30,57.6,29877820,57.57,57.77,57.34
"65",2016-09-29,57.4,25389600,57.81,58.1679,57.21
