"","date","close","volume","open","high","low"
"1",2016-12-30,106.74,30280640,111.35,111.92,106.3
"2",2016-12-29,111.43,54139730,104.9,111.49,102.8
"3",2016-12-28,109.25,57125760,119.6,119.93,108.69
"4",2016-12-27,117.32,29735840,112.06,117.36,111.22
"5",2016-12-23,109.78,16181290,106.38,109.835,106.27
"6",2016-12-22,107.11,17954820,106.82,108.87,106.53
"7",2016-12-21,105.83,14391730,105.64,105.95,103.71
"8",2016-12-20,105.17,21173160,104.58,106.13,104.12
"9",2016-12-19,101.63,18606620,99.7,102.4499,99
"10",2016-12-16,100.41,27214750,99.83,100.7,97.726
"11",2016-12-15,98.71,18655670,96.9,99.94,96.6
"12",2016-12-14,96.45,24578270,92.54,97.11,91.57
"13",2016-12-13,91.17,9653647,90.09,92.29,90.05
"14",2016-12-12,89.59,15020190,89.85,89.95,87.54
"15",2016-12-09,91.82,9554996,94.2,94.27,90.71
"16",2016-12-08,93.48,9533009,95.19,96.62,93.0531
"17",2016-12-07,95.07,12008320,92.84,95.3,92.1
"18",2016-12-06,93.39,12457400,92.21,93.73,91.57
"19",2016-12-05,91.88,15041620,89.99,92.61,89
"20",2016-12-02,88.45,11945200,86.25,88.8,85.12
"21",2016-12-01,87.64,25873850,92.1,92.17,84.77
"22",2016-11-30,92.2,10999960,93.6,94.16,92.1
"23",2016-11-29,93.25,11104490,94,94.44,92.53
"24",2016-11-28,94.11,6961269,93.87,94.74,93.6
"25",2016-11-25,94.16,4889078,94.42,95.1,93.41
"26",2016-11-23,93.97,11074870,93.72,95.2499,92.77
"27",2016-11-22,93.65,8249939,93.3,93.7396,92.38
"28",2016-11-21,92.98,10904560,94.09,94.35,92.4
"29",2016-11-18,93.36,14386820,92.39,94.33,91.8
"30",2016-11-17,92.39,20810700,92.31,94.7923,90.65
"31",2016-11-16,91.63,24684400,87.34,92.555,86.3452
"32",2016-11-15,86.19,15595900,84.29,87.45,83.93
"33",2016-11-14,83.64,33707000,88.09,88.19,83.62
"34",2016-11-11,87.97,54362450,79.51,88.77,78.5
"35",2016-11-10,67.77,20687310,71.49,71.5,66.76
"36",2016-11-09,69.96,11403280,69.23,70.9,68.72
"37",2016-11-08,71.16,10723830,71.54,71.77,70.5
"38",2016-11-07,71.27,12185850,69.55,71.72,69.5
"39",2016-11-04,67.57,8210545,67.51,68.7305,66.575
"40",2016-11-03,67.96,7728528,69.08,69.14,66.64
"41",2016-11-02,68.76,7389656,69.58,70.52,68.6355
"42",2016-11-01,69.05,11821160,71.42,71.81,68.29
"43",2016-10-31,71.16,6305174,70.79,71.625,70.75
"44",2016-10-28,70.56,7263016,71.02,72.1,70.43
"45",2016-10-27,70.68,9713501,72.71,72.85,70.385
"46",2016-10-26,72.16,8341729,71.27,72.95,71.2
"47",2016-10-25,71.87,9919476,70.59,72.3,70.25
"48",2016-10-24,70.71,8491206,68,70.79,67.99
"49",2016-10-21,67.54,6986932,67.49,67.66,66.9
"50",2016-10-20,67.73,7797116,67.25,67.95,66.3
"51",2016-10-19,66.47,4963452,66.16,66.78,65.82
"52",2016-10-18,66.61,6722654,66.52,66.99,66.25
"53",2016-10-17,65.61,4876561,65.98,66.6,65.52
"54",2016-10-14,65.99,8264837,66.15,66.6,65.6
"55",2016-10-13,65.35,9750535,65.65,65.8,63.7
"56",2016-10-12,66.43,10490910,65.86,66.7791,65.31
"57",2016-10-11,66.13,9703113,66.88,66.98,65.62
"58",2016-10-10,67.1,7183885,67.2,67.56,66.47
"59",2016-10-07,66.85,7153233,67.79,67.97,66.66
"60",2016-10-06,67.34,8991473,67.41,67.83,66.26
"61",2016-10-05,68.23,7544690,68.88,69.58,68.02
"62",2016-10-04,68.3,7037180,68.55,69.7,67.79
"63",2016-10-03,68.45,6062466,68.52,69.51,68.331
"64",2016-09-30,68.52,10745330,67.77,69.19,67.37
"65",2016-09-29,67.4,8411200,66.67,67.61,66.0514
"66",2016-09-28,66.78,7994256,66.64,66.83,65.93
"67",2016-09-27,66.54,10062720,64.09,66.64,64.06
"68",2016-09-26,64.34,5745935,64.21,64.6,63.53
"69",2016-09-23,64.95,6903061,65.1,65.29,64.66
"70",2016-09-22,65.02,7700064,65.24,65.44,64.65
"71",2016-09-21,64.86,8402603,63.28,64.98,63.27
"72",2016-09-20,63.09,8266230,64.4,64.4,62.74
"73",2016-09-19,63.67,10408900,63.5,65.26,63.21
"74",2016-09-16,62.84,22559810,62.91,63.25,62.12
"75",2016-09-15,62.69,12881520,60.5,62.76,60.36
"76",2016-09-14,60.4,7980312,60.01,60.6,59.51
"77",2016-09-13,59.87,11773360,60.6,61.3,59.53
"78",2016-09-12,60.75,14938740,58.73,60.865,57.315
"79",2016-09-09,59.52,17437500,61.95,62.3,59
"80",2016-09-08,62.64,7874553,62.13,62.74,61.42
"81",2016-09-07,62.19,9942178,62.92,63.2285,61.83
"82",2016-09-06,63.12,7646961,62.75,63.12,62.429
"83",2016-09-02,62.53,8077205,63.28,63.35,61.82
"84",2016-09-01,63.15,10707960,61.39,63.38,61.34
"85",2016-08-31,61.34,9706761,61.75,61.92,61.16
"86",2016-08-30,61.63,7135670,61.91,62.2426,61.46
"87",2016-08-29,61.99,6861156,62.28,62.53,61.885
"88",2016-08-26,62.03,7496162,61.69,62.38,61.2
"89",2016-08-25,61.53,10142590,61.96,61.99,60.76
"90",2016-08-24,61.94,7456880,63.13,63.16,61.65
"91",2016-08-23,62.91,8485669,63.04,63.32,62.73
"92",2016-08-22,62.52,6116999,62.45,62.612,61.711
"93",2016-08-19,62.26,7281832,62.07,62.73,61.8
"94",2016-08-18,62.1,8285031,61.06,62.2,60.82
"95",2016-08-17,61.15,14876310,62.6,62.74,60.655
"96",2016-08-16,62.6,7190588,62.89,62.99,62.41
"97",2016-08-15,62.98,14327290,63.11,63.4964,62.1302
"98",2016-08-12,63.04,35620280,61.9,63.38,60.63
"99",2016-08-11,59.7,16720840,58.82,59.95,58.7
"100",2016-08-10,58.51,9377007,59.41,59.5,58.3237
"101",2016-08-09,58.89,9302198,59.03,59.46,58.74
"102",2016-08-08,58.74,7619657,59,59.14,58.12
"103",2016-08-05,58.2,9287250,57.89,58.23,57.61
"104",2016-08-04,57.23,6801407,56.46,57.49,56.35
"105",2016-08-03,56.19,7471585,55.97,56.3,55.66
"106",2016-08-02,56.04,7037858,57,57.03,55.5
"107",2016-08-01,56.73,7483607,57.34,57.55,56.36
"108",2016-07-29,57.1,10238130,56.39,57.25,55.38
"109",2016-07-28,56.18,5521195,56.19,56.6,56.0137
"110",2016-07-27,56.06,11148780,57.12,57.22,55.72
"111",2016-07-26,56.63,12851430,56.17,56.92,56.09
"112",2016-07-25,55.68,7811128,55,55.81,54.76
"113",2016-07-22,54.67,7893017,53.41,54.67,53.02
"114",2016-07-21,53.22,9030995,54.1,54.27,53.04
"115",2016-07-20,54.22,7407687,53.7,54.505,53.48
"116",2016-07-19,53.52,9565107,52.94,53.7293,52.84
"117",2016-07-18,52.97,6307341,53.35,53.43,52.77
"118",2016-07-15,52.7,10708740,52.64,52.935,51.841
"119",2016-07-14,53.32,7915882,53.06,53.8,52.62
"120",2016-07-13,52.78,8110763,52.9,53.2,52.7
"121",2016-07-12,52.8,10916430,52.6,53.28,51.94
"122",2016-07-11,52.02,11216600,51.58,52.4,51.52
"123",2016-07-08,50.85,12046170,49.41,51.091,49.22
"124",2016-07-07,48.89,9876120,47.97,49.06,47.75
"125",2016-07-06,47.65,6809474,47.02,47.925,46.78
"126",2016-07-05,47.35,9263345,46.4,47.43,46.03
"127",2016-07-01,46.66,5462048,46.75,47.36,46.5
"128",2016-06-30,47.01,10746720,46.73,47.3,46.35
"129",2016-06-29,46.65,7965538,46.3,47.01,46.18
"130",2016-06-28,45.9,9535051,46.1,46.1499,45.27
"131",2016-06-27,45.24,11242870,45.35,45.7,44.57
"132",2016-06-24,45.73,25437510,46.5,47.36,45.3
"133",2016-06-23,48.49,7438020,47.68,48.54,47.65
"134",2016-06-22,47.23,5043816,47.37,47.68,47.15
"135",2016-06-21,47.27,5292266,47.76,47.89,47.2
"136",2016-06-20,47.56,7324196,47.47,48.17,47.44
"137",2016-06-17,46.72,11770950,47.61,47.62,46.53
"138",2016-06-16,47.55,6156518,47.01,47.63,46.551
"139",2016-06-15,47.36,7503918,47.27,47.77,46.75
"140",2016-06-14,46.88,7447111,46.68,47.1,46.155
"141",2016-06-13,46.79,11888250,46.25,47.6986,46.25
"142",2016-06-10,46.2,9998942,46.82,47.24,46.14
"143",2016-06-09,47.38,11798570,46.02,47.45,45.92
"144",2016-06-08,46.18,5857931,46.34,46.51,45.8
"145",2016-06-07,46.33,4829112,46.52,46.78,46.31
"146",2016-06-06,46.24,8040066,46.6,46.96,46
"147",2016-06-03,46.48,11525580,46.68,46.74,45.66
"148",2016-06-02,47.14,8200177,47.06,47.54,46.6
"149",2016-06-01,46.81,9664611,46.5,47.26,46.36
"150",2016-05-31,46.72,10291400,46.1,46.815,46.07
"151",2016-05-27,45.9,6934092,45.7,45.97,45.55
