"","date","close","volume","open","high","low"
"1",2016-12-30,28.03,645349,28,28.12,27.9063
"2",2016-12-29,28.15,431467,28.18,28.26,28.12
"3",2016-12-28,28.28,355871,28.5,28.5,28.27
"4",2016-12-27,28.38,402450,28.3,28.48,28.29
"5",2016-12-23,28.46,331427,28.36,28.49,28.36
"6",2016-12-22,28.35,852313,28.49,28.57,28.29
"7",2016-12-21,28.49,404629,28.55,28.63,28.47
"8",2016-12-20,28.74,356619,28.71,28.82,28.65
"9",2016-12-19,28.84,711082,28.78,29,28.76
"10",2016-12-16,28.44,869372,28.43,28.53,28.35
"11",2016-12-15,28.86,765943,28.77,28.98,28.71
"12",2016-12-14,28.82,876314,29.28,29.32,28.81
"13",2016-12-13,29.58,806184,29.44,29.73,29.44
"14",2016-12-12,29.12,1054698,29.24,29.29,29.07
"15",2016-12-09,29.4,895962,29.44,29.56,29.39
"16",2016-12-08,29.16,2028024,28.74,29.2,28.74
"17",2016-12-07,28.61,789674,28.25,28.61,28.15
"18",2016-12-06,28.16,656341,28.09,28.2,28.07
"19",2016-12-05,28.14,940633,27.99,28.23,27.98
"20",2016-12-02,28.06,952644,27.87,28.17,27.72
"21",2016-12-01,28.22,1456827,28.5,28.59,28.12
"22",2016-11-30,29.07,750148,29.35,29.35,29.07
"23",2016-11-29,29.49,443366,29.38,29.63,29.3
"24",2016-11-28,29.57,468218,29.53,29.59,29.415
"25",2016-11-25,29.5,316928,29.51,29.54,29.41
"26",2016-11-23,30.06,369334,29.98,30.09,29.88
"27",2016-11-22,30.18,829769,30.23,30.27,30.03
"28",2016-11-21,29.76,563618,29.65,29.78,29.62
"29",2016-11-18,29.18,883741,29.45,29.46,29.145
"30",2016-11-17,29.7,700524,29.59,29.74,29.5
"31",2016-11-16,29.37,778727,29.56,29.56,29.29
"32",2016-11-15,29.61,814571,29.54,29.71,29.49
"33",2016-11-14,29.99,1026427,30.15,30.21,29.9
"34",2016-11-11,30.11,1132989,30.04,30.17,29.885
"35",2016-11-10,29.84,2614648,30.17,30.36,29.72
"36",2016-11-09,30.21,1158948,29.92,30.47,29.78
"37",2016-11-08,30.65,1130967,30.31,30.8899,30.29
"38",2016-11-07,30.4,2213037,30.34,30.515,30.25
"39",2016-11-04,30.83,1142088,30.8,31.1,30.77
"40",2016-11-03,31.4,982965,31.52,31.56,31.34
"41",2016-11-02,31.37,1881276,31.53,31.68,31.31
"42",2016-11-01,30.73,2555192,31.58,31.83,30.38
"43",2016-10-31,31.33,1567903,31.61,31.62,31.12
"44",2016-10-28,31.49,1106936,31.47,31.69,31.35
"45",2016-10-27,31.53,747767,31.74,31.83,31.51
"46",2016-10-26,31.84,1381346,31.69,32.07,31.66
"47",2016-10-25,31.85,833352,31.84,31.921,31.73
"48",2016-10-24,32.14,557878,32.22,32.29,32.1
"49",2016-10-21,32.11,1074129,32.07,32.21,31.99
"50",2016-10-20,32.72,491870,32.73,32.86,32.56
"51",2016-10-19,32.91,612176,33.03,33.07,32.895
"52",2016-10-18,33.5,657098,33.35,33.674,33.3
"53",2016-10-17,32.79,484682,32.83,32.95,32.72
"54",2016-10-14,32.89,1168883,33.21,33.22,32.86
"55",2016-10-13,33.27,1451762,32.91,33.29,32.8
"56",2016-10-12,32.7,566232,32.75,32.78,32.61
"57",2016-10-11,32.78,710656,32.88,32.944,32.73
"58",2016-10-10,32.73,648908,32.69,33.01,32.6
"59",2016-10-07,32.53,547368,32.57,32.63,32.31
"60",2016-10-06,32.72,815833,32.67,32.8,32.569
"61",2016-10-05,32.94,554669,33.02,33.13,32.92
"62",2016-10-04,32.74,988573,33.08,33.1,32.69
"63",2016-10-03,33.1,982766,32.97,33.25,32.89
"64",2016-09-30,33.21,1401214,32.76,33.4,32.65
"65",2016-09-29,33.24,873027,33.3,33.47,33.2
"66",2016-09-28,33.58,705817,33.47,33.62,33.32
"67",2016-09-27,33.47,765477,33.34,33.56,33.28
"68",2016-09-26,33.46,855853,33.32,33.56,33.3
"69",2016-09-23,33.6,789828,33.63,33.8,33.55
"70",2016-09-22,33.91,971690,33.95,34.17,33.78
"71",2016-09-21,33.43,1332364,33.23,33.54,33.085
"72",2016-09-20,32.46,952409,32.59,32.75,32.37
"73",2016-09-19,31.89,552935,32.09,32.26,31.87
"74",2016-09-16,31.79,1057162,31.87,32.05,31.7
"75",2016-09-15,32.47,608790,31.98,32.57,31.9
"76",2016-09-14,32.22,543929,32.15,32.42,32.15
"77",2016-09-13,32.16,1017469,32.48,32.51,32.125
"78",2016-09-12,32.67,1495128,32.13,32.74,32.09
"79",2016-09-09,32.45,1046363,32.9,32.94,32.45
"80",2016-09-08,33.12,993569,33.37,33.44,33.05
"81",2016-09-07,33.44,1099327,33.83,33.86,33.42
"82",2016-09-06,33.52,956187,33.19,33.53,33.085
"83",2016-09-02,32.64,914558,32.53,32.83,32.53
"84",2016-09-01,32.14,1112347,32,32.19,31.801
"85",2016-08-31,32.16,840898,32.46,32.46,32
"86",2016-08-30,32.59,661866,32.64,32.73,32.5
"87",2016-08-29,32.85,997878,32.74,32.95,32.65
"88",2016-08-26,33.18,984444,33.41,33.7,33.06
"89",2016-08-25,33.44,742904,33.4,33.49,33.31
"90",2016-08-24,33.25,962395,33.55,33.6,33.175
"91",2016-08-23,33.12,813714,33.18,33.34,33.03
"92",2016-08-22,33.01,725291,32.97,33.119,32.81
"93",2016-08-19,32.72,1219107,32.57,32.83,32.36
"94",2016-08-18,33.1,1222952,32.8,33.18,32.76
"95",2016-08-17,32.37,1026480,32.24,32.5,32.08
"96",2016-08-16,32.78,406468,32.77,32.92,32.77
"97",2016-08-15,32.76,753784,32.78,32.85,32.66
"98",2016-08-12,32.82,673013,32.87,32.9999,32.74
"99",2016-08-11,33.04,915957,33.02,33.1399,32.97
"100",2016-08-10,32.85,813857,33.07,33.13,32.73
"101",2016-08-09,32.85,815574,32.8,33.13,32.7
"102",2016-08-08,32.3,827117,32.36,32.45,32.145
"103",2016-08-05,32.72,646925,32.7,32.83,32.57
"104",2016-08-04,32.6,921425,32.43,32.68,32.29
"105",2016-08-03,32.35,788168,32.19,32.38,32.05
"106",2016-08-02,32.5,1130590,32.33,32.52,32.28
"107",2016-08-01,32.5,1797517,33,33.02,32.37
"108",2016-07-29,33.41,3656372,32.33,33.5,32.21
"109",2016-07-28,30.68,1464959,30.47,30.735,30.39
"110",2016-07-27,30.39,743021,30.53,30.67,30.23
"111",2016-07-26,30.21,642399,30.2,30.32,30.135
"112",2016-07-25,29.85,1163771,29.93,29.95,29.535
"113",2016-07-22,30.21,456455,30.04,30.26,30.03
"114",2016-07-21,30,1055753,29.96,30.15,29.87
"115",2016-07-20,30.52,484388,30.5,30.59,30.42
"116",2016-07-19,30.27,730448,30.28,30.36,30.18
"117",2016-07-18,30.3,845253,30.05,30.305,30.03
"118",2016-07-15,30.04,1021221,30.13,30.15,29.97
"119",2016-07-14,30.04,1540808,30.24,30.345,29.98
"120",2016-07-13,29.55,2054641,29.74,29.74,29.41
"121",2016-07-12,30.59,2596218,30.7,30.84,30.43
"122",2016-07-11,31.2,1984408,31.06,31.33,31.03
"123",2016-07-08,30.59,1087197,30.2,30.64,30.18
"124",2016-07-07,30.08,1752877,30.1,30.29,29.79
"125",2016-07-06,30.09,1757522,29.55,30.1,29.53
"126",2016-07-05,29.19,1164796,29.39,29.39,29.03
"127",2016-07-01,29.39,1062267,29.17,29.53,29.17
"128",2016-06-30,29.35,1338795,29.05,29.375,28.89
"129",2016-06-29,29.34,2147224,28.92,29.45,28.88
"130",2016-06-28,28.12,1327825,27.89,28.15,27.705
"131",2016-06-27,27.08,1714914,27.15,27.24,26.84
"132",2016-06-24,27.6,2464559,27.62,28.23,27.57
"133",2016-06-23,29,827983,29.09,29.14,28.78
"134",2016-06-22,28.61,1061494,28.88,29.13,28.61
"135",2016-06-21,29.08,1301638,29.19,29.22,29.02
"136",2016-06-20,28.54,918332,28.66,28.85,28.49
"137",2016-06-17,27.92,991611,27.73,27.92,27.6035
"138",2016-06-16,27.84,995890,27.61,27.91,27.33
"139",2016-06-15,28,808192,28.01,28.26,27.95
"140",2016-06-14,27.67,1140358,27.61,27.83,27.43
"141",2016-06-13,27.52,1130504,27.53,27.86,27.5
"142",2016-06-10,28.03,889099,28.29,28.33,27.89
"143",2016-06-09,28.77,776931,28.65,28.89,28.64
"144",2016-06-08,29.18,962541,28.93,29.21,28.92
"145",2016-06-07,28.89,774012,28.91,29.13,28.88
"146",2016-06-06,28.8,1042771,28.6,28.94,28.6
"147",2016-06-03,27.95,1625575,28.08,28.22,27.88
"148",2016-06-02,28,592313,27.69,28,27.65
"149",2016-06-01,27.86,629880,27.86,27.94,27.64
"150",2016-05-31,27.86,1293022,28.04,28.09,27.69
"151",2016-05-27,28.02,597808,28,28.08,27.9
"152",2016-05-26,28.05,1050232,28.04,28.08,27.81
"153",2016-05-25,27.9,2512049,28,28.11,27.71
"154",2016-05-24,27.84,3613317,26.95,28.1,26.78
"155",2016-05-23,26.27,533031,26.32,26.49,26.24
"156",2016-05-20,26.44,566402,26.32,26.49,26.312
"157",2016-05-19,26.09,849639,26.11,26.24,25.91
"158",2016-05-18,26.78,1686542,26.74,27.06,26.64
"159",2016-05-17,25.92,1391215,26.15,26.36,25.87
"160",2016-05-16,26.36,1496422,26.23,26.45,26.14
"161",2016-05-13,26.12,3034123,26.55,26.67,25.94
"162",2016-05-12,25.84,2598141,26.09,26.15,25.64
"163",2016-05-11,24.56,1713830,25.02,25.03,24.54
"164",2016-05-10,24.77,1134573,24.52,24.78,24.44
"165",2016-05-09,23.93,734855,24.16,24.2299,23.84
"166",2016-05-06,23.87,2335653,23.67,23.9401,23.62
"167",2016-05-05,23.98,3336854,23.94,24.04,23.7837
"168",2016-05-04,23.85,3020788,24.03,24.13,23.65
"169",2016-05-03,24.12,957585,24.53,24.5499,23.92
"170",2016-05-02,24.72,1241950,24.95,24.98,24.62
"171",2016-04-29,24.1,2256663,24.39,24.41,23.95
"172",2016-04-28,24.26,2230181,25.92,26.26,24.05
"173",2016-04-27,25.61,1110514,25.72,25.8,25.39
"174",2016-04-26,25.77,722312,25.67,25.79,25.57
"175",2016-04-25,25.7,1499315,25.62,25.72,25.46
"176",2016-04-22,26.64,2935458,27.08,27.19,26.32
"177",2016-04-21,26.42,2830874,27.26,27.295,26.325
"178",2016-04-20,27.92,1665933,27.94,28.17,27.77
"179",2016-04-19,26.75,1187012,26.95,27,26.65
"180",2016-04-18,26.48,2942041,25.52,26.69,25.45
"181",2016-04-15,26.66,1709032,26.72,26.83,26.51
"182",2016-04-14,27.61,1499377,27.57,27.81,27.5
"183",2016-04-13,28.1,1150371,27.9,28.12,27.8
"184",2016-04-12,27.97,2373336,27.99,28.05,27.62
"185",2016-04-11,26.98,2463354,27.43,27.52,26.97
"186",2016-04-08,26.07,979600,26.35,26.35,25.95
"187",2016-04-07,25.3,1231514,25.71,25.79,25.17
"188",2016-04-06,25.84,1528275,25.7,25.88,25.42
"189",2016-04-05,25.69,4076865,25.8,26,25.69
"190",2016-04-04,25.61,2136251,25.66,25.87,25.57
"191",2016-04-01,24.92,1242782,24.77,24.94,24.45
"192",2016-03-31,25.72,459941,25.8,25.93,25.7
"193",2016-03-30,25.79,957581,25.76,26.06,25.72
"194",2016-03-29,26.16,1163762,25.63,26.16,25.4999
"195",2016-03-28,25.55,819707,25.72,25.84,25.405
"196",2016-03-24,25.47,860557,25.17,25.49,25.02
"197",2016-03-23,25.57,816769,25.9,25.93,25.54
"198",2016-03-22,26.26,819643,26.04,26.29,25.96
"199",2016-03-21,26.47,957506,26.32,26.49,26.16
"200",2016-03-18,26.27,1062746,26.19,26.4301,26.07
"201",2016-03-17,26.09,2838872,25.79,26.14,25.67
"202",2016-03-16,25.5,1382758,25.11,25.5,25.08
"203",2016-03-15,24.52,660226,24.44,24.54,24.34
"204",2016-03-14,24.58,799121,24.5,24.63,24.43
"205",2016-03-11,24.61,1412377,24.38,24.62,24.22
"206",2016-03-10,23.66,2479180,24.23,24.31,23.37
"207",2016-03-09,23.28,1522971,23.4,23.45,23.09
"208",2016-03-08,22.46,1477819,22.96,23,22.42
"209",2016-03-07,23.22,2042491,22.81,23.37,22.79
"210",2016-03-04,22.93,1670969,22.74,23.145,22.71
"211",2016-03-03,22.11,5247014,22.02,22.15,21.9268
"212",2016-03-02,22,1638245,21.88,22.05,21.79
"213",2016-03-01,21.61,1072772,21.29,21.71,21.24
"214",2016-02-29,21.12,1138541,21.28,21.43,21.11
"215",2016-02-26,21.54,2366442,21.42,21.6963,21.39
"216",2016-02-25,21.34,1051402,21.12,21.35,21.0101
"217",2016-02-24,21.43,670709,21.18,21.5,20.97
"218",2016-02-23,21.51,1148281,21.7,21.92,21.5
"219",2016-02-22,22.31,548378,22.23,22.44,22.21
"220",2016-02-19,21.97,749726,22.04,22.16,21.83
"221",2016-02-18,22.22,603454,22.56,22.56,22.165
"222",2016-02-17,22.18,1084590,22.04,22.28,21.98
"223",2016-02-16,21.57,1274283,21.53,21.64,21.33
"224",2016-02-12,20.82,1160895,20.33,20.83,20.184
"225",2016-02-11,20.26,1232740,20.37,20.58,20.11
"226",2016-02-10,20.79,963848,20.65,21.275,20.61
"227",2016-02-09,20.75,3052328,20.43,20.86,20.41
"228",2016-02-08,21.2,1545238,21.41,21.4555,20.87
"229",2016-02-05,21.73,1225618,22.25,22.28,21.68
"230",2016-02-04,22.08,980706,22.05,22.36,21.9
"231",2016-02-03,22.03,1575338,22.09,22.21,21.57
"232",2016-02-02,22.39,2828951,22.36,22.7,22.24
"233",2016-02-01,23.31,1908658,23.24,23.33,22.97
"234",2016-01-29,23.88,5516698,22.57,24.48,22.51
"235",2016-01-28,20.29,2452752,20.26,20.49,19.9
"236",2016-01-27,21.04,739856,21.22,21.43,20.92
"237",2016-01-26,21.23,1078298,20.84,21.29,20.8
"238",2016-01-25,21.13,1177549,21.26,21.46,21.09
"239",2016-01-22,21.74,1689189,21.4,21.89,21.37
"240",2016-01-21,21.16,1303007,20.93,21.48,20.84
"241",2016-01-20,21.04,2711918,20.89,21.295,20.16
"242",2016-01-19,22.21,2155550,22.71,22.77,21.96
"243",2016-01-15,21.44,1662022,21.58,21.69,21.21
"244",2016-01-14,22.3,3010675,22.25,22.39,21.9
"245",2016-01-13,22.49,2372014,23.14,23.23,22.345
"246",2016-01-12,22.85,2060530,23.08,23.09,22.55
"247",2016-01-11,23.36,2392462,23.37,23.42,22.99
"248",2016-01-08,23,1869571,23.82,23.91,23
"249",2016-01-07,23.27,2108671,23.52,23.65,23.17
